"AssemblyCat","Assembly_ID","Component_Part_Number","Quantity","Assy_%23","PanelAssy","ShopAssy"
"VFD","PF755TS-005HP","20G21ND8P0JA0NNNNN","1","VFD001","1",
"VFD","PF755TS-005HP","JLS010","3","VFD001","1",
"VFD","PF755TS-005HP","20-750-S3","1","VFD001","1",
"VFD","PF755TS-005HP","20-750-enc-1","1","VFD001","1",
"VFD","PF755TS-005HP","20-HIM-C6S","1","VFD001","1",
"VFD","PF755TS-005HP","LFJ60030-3CID","1","VFD001","1",
"VFD","PF755TS-005HP","LFJ60030FBC","3","VFD001","1",
"VFD","PF755TS-005HP","1321-3R8-B","1","VFD001","1",
"VFD","PF755TS-005HP","PF150R800W","1","VFD001","1",
"VFD","PF755TS-005HP","FP6X88MTG","2","VFD001","1",
"VFD","PF755TS-005HP","CAT6","50","VFD001","1",
"VFD","PF755TS-007.5HP","20G21ND011JA0NNNNN","1","VFD002","1",
"VFD","PF755TS-007.5HP","JLS015","3","VFD002","1",
"VFD","PF755TS-007.5HP","20-750-S3","1","VFD002","1",
"VFD","PF755TS-007.5HP","20-750-enc-1","1","VFD002","1",
"VFD","PF755TS-007.5HP","20-HIM-C6S","1","VFD002","1",
"VFD","PF755TS-007.5HP","LFJ60030-3CID","1","VFD002","1",
"VFD","PF755TS-007.5HP","LFJ60030FBC","3","VFD002","1",
"VFD","PF755TS-007.5HP","1321-3R12-B","1","VFD002","1",
"VFD","PF755TS-007.5HP","PF100R800W","1","VFD002","1",
"VFD","PF755TS-007.5HP","FP6X88MTG","2","VFD002","1",
"VFD","PF755TS-007.5HP","CAT6","50","VFD002","1",
"VFD","PF755TS-010HP","20G21ND014JA0NNNNN","1","VFD003","1",
"VFD","PF755TS-010HP","JLS020","3","VFD003","1",
"VFD","PF755TS-010HP","20-750-S3","1","VFD003","1",
"VFD","PF755TS-010HP","20-750-enc-1","1","VFD003","1",
"VFD","PF755TS-010HP","20-HIM-C6S","1","VFD003","1",
"VFD","PF755TS-010HP","LFJ60030-3CID","1","VFD003","1",
"VFD","PF755TS-010HP","LFJ60030FBC","3","VFD003","1",
"VFD","PF755TS-010HP","1321-3R18-B","1","VFD003","1",
"VFD","PF755TS-010HP","PF80R1K2","1","VFD003","1",
"VFD","PF755TS-010HP","FP6X88MTG","2","VFD003","1",
"VFD","PF755TS-010HP","CAT6","50","VFD003","1",
"VFD","PF755TS-015HP","20G21ND022JA0NNNNN","1","VFD004","1",
"VFD","PF755TS-015HP","JLS030","3","VFD004","1",
"VFD","PF755TS-015HP","20-750-S3","1","VFD004","1",
"VFD","PF755TS-015HP","20-750-enc-1","1","VFD004","1",
"VFD","PF755TS-015HP","20-HIM-C6S","1","VFD004","1",
"VFD","PF755TS-015HP","LFJ60030-3CID","1","VFD004","1",
"VFD","PF755TS-015HP","LFJ60030FBC","3","VFD004","1",
"VFD","PF755TS-015HP","1321-3R25-B","1","VFD004","1",
"VFD","PF755TS-015HP","PF40R1K60","1","VFD004","1",
"VFD","PF755TS-015HP","FP6X88MTG","2","VFD004","1",
"VFD","PF755TS-015HP","CAT6","50","VFD004","1",
"VFD","PF755TS-020HP","20G21ND027JA0NNNNN","1","VFD004","1",
"VFD","PF755TS-020HP","JLS035","3","VFD004","1",
"VFD","PF755TS-020HP","20-750-S3","1","VFD004","1",
"VFD","PF755TS-020HP","20-750-enc-1","1","VFD004","1",
"VFD","PF755TS-020HP","20-HIM-C6S","1","VFD004","1",
"VFD","PF755TS-020HP","LFJ60060-3CID","1","VFD004","1",
"VFD","PF755TS-020HP","LFJ60060FBC","3","VFD004","1",
"VFD","PF755TS-020HP","1321-3R35-B","1","VFD004","1",
"VFD","PF755TS-020HP","PF40R2K00","1","VFD004","1",
"VFD","PF755TS-020HP","FP6X88MTG","2","VFD004","1",
"VFD","PF755TS-020HP","CAT6","50","VFD004","1",
"VFD","PF755TS-025HP","20G21ND034JA0NNNNN","1","VFD005","1",
"VFD","PF755TS-025HP","JLS045","3","VFD005","1",
"VFD","PF755TS-025HP","20-750-S3","1","VFD005","1",
"VFD","PF755TS-025HP","20-750-enc-1","1","VFD005","1",
"VFD","PF755TS-025HP","20-HIM-C6S","1","VFD005","1",
"VFD","PF755TS-025HP","LFJ60060-3CID","1","VFD005","1",
"VFD","PF755TS-025HP","LFJ60060FBC","3","VFD005","1",
"VFD","PF755TS-025HP","1321-3R35-B","1","VFD005","1",
"VFD","PF755TS-025HP","PF32R2K40","1","VFD005","1",
"VFD","PF755TS-025HP","FP6X88MTG","2","VFD005","1",
"VFD","PF755TS-025HP","CAT6","50","VFD005","1",
"VFD","PF755TS-030HP","20G21ND040JA0NNNNN","1","VFD006","1",
"VFD","PF755TS-030HP","JLS050","3","VFD006","1",
"VFD","PF755TS-030HP","20-750-S3","1","VFD006","1",
"VFD","PF755TS-030HP","20-750-enc-1","1","VFD006","1",
"VFD","PF755TS-030HP","20-HIM-C6S","1","VFD006","1",
"VFD","PF755TS-030HP","LFJ60060-3CID","1","VFD006","1",
"VFD","PF755TS-030HP","LFJ60060FBC","3","VFD006","1",
"VFD","PF755TS-030HP","1321-3R45-B","1","VFD006","1",
"VFD","PF755TS-030HP","PF28R2K80","1","VFD006","1",
"VFD","PF755TS-030HP","FP6X88MTG","2","VFD006","1",
"VFD","PF755TS-030HP","CAT6","50","VFD006","1",
"VFD","PF755TS-040HP","20G21ND052JA0NNNNN","1","VFD007","1",
"VFD","PF755TS-040HP","JLS070","3","VFD007","1",
"VFD","PF755TS-040HP","20-750-S3","1","VFD007","1",
"VFD","PF755TS-040HP","20-750-enc-1","1","VFD007","1",
"VFD","PF755TS-040HP","20-HIM-C6S","1","VFD007","1",
"VFD","PF755TS-040HP","LFJ60100-3CID","1","VFD007","1",
"VFD","PF755TS-040HP","LFJ60100FBC","3","VFD007","1",
"VFD","PF755TS-040HP","1321-3R55-B","1","VFD007","1",
"VFD","PF755TS-040HP","PF19R4K86","1","VFD007","1",
