Category,Model,Rating,master_item_number,manu,part_number,upc,Description,price,vendor,effective_date
VFD,755TS,5,,AB,20G21ND8P0JA0NNNNN,,"AC Drive, PowerFlex 755TS, 8A, 5HP/ND, 3HP/HD, Open, 480VAC","2,413.21",Rexel,6/24/2025
VFD,755TS,7.5,,AB,20G21ND011JA0NNNNN,,"AC Drive, PowerFlex 755TS, 11A, 7.5HP/ND, 5HP/HD, Open, 480VAC","2,723.72",Rexel,6/24/2025
VFD,755TS,10,,AB,20G21ND014JA0NNNNN,,"AC Drive, PowerFlex 755TS, 14A, 10HP/ND, 7.5HP/HD, Open, 480VAC","2,772.53",Rexel,6/24/2025
VFD,755TS,15,,AB,20G21ND022JA0NNNNN,,"AC Drive, PowerFlex 755TS, 22A, 15HP/ND, 10HP/HD, Open, 480VAC","3,211.69",Rexel,6/24/2025
VFD,755TS,20,,AB,20G21ND027JA0NNNNN,,"AC Drive, PowerFlex 755TS, 27A, 20HP/ND, 15HP/HD, Open, 480VAC","3,704.11",Rexel,6/24/2025
VFD,755TS,25,,AB,20G21ND034JA0NNNNN,,"AC Drive, PowerFlex 755TS, 34A, 25HP/ND, 20HP/HD, Open, 480VAC","4,444.93",Rexel,6/24/2025
VFD,755TS,30,,AB,20G21ND040JA0NNNNN,,"AC Drive, PowerFlex 755TS, 40A, 30HP/ND, 25HP/HD, Open, 480VAC","5,358.75",Rexel,6/24/2025
VFD,755TS,40,,AB,20G21ND052JA0NNNNN,,"AC Drive, PowerFlex 755TS, 50A, 40HP/ND, 30HP/HD, Open, 480VAC","6,272.57",Rexel,6/24/2025
VFD,755TS,50,,AB,20G21ND065JA0NNNNN,,"AC Drive, PowerFlex 755TS, 65A, 50HP/ND, 40HP/HD, Open, 480VAC","7,696.56",Rexel,6/24/2025
VFD,755TS,60,,AB,20G21ND077JA0NNNNN,,"AC Drive, PowerFlex 755TS, 77A, 60HP/ND, 50HP/HD, Open, 480VAC","9,076.16",Rexel,6/24/2025
VFD,755TS,75,,AB,20G21ND096JA0NNNNN,,"AC Drive, PowerFlex 755TS, 96A, 75HP/ND, 60HP/HD, Open, 480VAC","10,398.12",Rexel,6/24/2025
VFD,755TS,100,,AB,20G2AND125JA0NNNNN,,"AC Drive, PowerFlex 755TS, 125A, 100HP/ND, 75HP/HD, Open, 480VAC","12,909.16",Rexel,6/24/2025
VFD,755TS,125,,AB,20G2AND156JA0NNNNN,,"AC Drive, PowerFlex 755TS, 156A, 125HP/ND, 100HP/HD, Open, 480VAC","14,227.05",Rexel,6/24/2025
VFD,755TS,150,,AB,20G2AND186JA0NNNNN,,"AC Drive, PowerFlex 755TS, 186A, 150HP/ND, 125HP/HD, Open, 480VAC","16,152.17",Rexel,6/24/2025
VFD,755TS,200,,AB,20G2AND248JA0NNNNN,,"AC Drive, PowerFlex 755TS, 248A, 200HP/ND, 150HP/HD, Open, 480VAC","20,582.67",Rexel,6/24/2025
VFD,755TS,250,,AB,20G2AND302JA0NNNNN,,"AC Drive, PowerFlex 755TS, 302A, 250HP/ND, 200HP/HD, Open, 480VAC","25,789.16",Rexel,6/24/2025
VFD,755TS,300,,AB,20G2AND361JA0NNNNN,,"AC Drive, PowerFlex 755TS, 361A, 300HP/ND, 250HP/HD, Open, 480VAC","30,428.41",Rexel,6/24/2025
VFD,755TS,350,,AB,20G2AND361JN0NNNNN,,"AC Drive, PowerFlex 755TS, 361A, 300HP/ND, 250HP/HD, Open, 480VAC","29,305.83",Rexel,6/24/2025
VFD,755TS,350,,AB,20G2AND415JA0NNNNN,,"AC Drive, PowerFlex 755TS, 415A, 350HP/ND, 300HP/HD, Open, 480VAC","35,891.62",Rexel,6/24/2025
VFD-AUX.,700,,206-1501,AB,20-750-S3,,"AC Drive, Safety Option, integrated Safe Torque Off, PowerFlex 750",365.82,Rexel,6/24/2025
VFD-AUX.,700,,207-7517,AB,20-750-ENC-1,,"AC Drive, Feedback Option, Incremental Encoder, PowerFlex 750",186.28,Rexel,6/24/2025
VFD-AUX.,700,,204-5112,AB,20-HIM-C6S,,"Human Interface Module, Enchanced LCD, Full Numeric Keypad,",282.32,Rexel,6/24/2025
FU,J-FastActing,10, 206-7416,LITTLEFUSE,JLS010,,"Fuse, 10A, 600V, 200kAIC, Class J, Fast-Acting",15.77,Rexel,6/24/2025
FU,J-FastActing,20,,LITTLEFUSE,JLS020,,"Fuse, 20A, 600V, 200kAIC, Class J, Fast-Acting",15.77,Rexel,6/24/2025
FU,J-FastActing,30,206-2073,LITTLEFUSE,JLS030,,"Fuse, 30A, 600V, 200kAIC, Class J, Fast-Acting",14.7,Rexel,6/24/2025
FU,J-FastActing,35,206-1444,LITTLEFUSE,JLS035,,"Fuse, 35A, 600V, 200kAIC, Class J, Fast-Acting",28.01,Rexel,6/24/2025
FU,J-FastActing,45,206-1735,LITTLEFUSE,JLS045,,"Fuse, 45A, 600V, 200kAIC, Class J, Fast-Acting",28.01,Rexel,6/24/2025
FU,J-FastActing,50,207-3213,LITTLEFUSE,JLS050,,"Fuse, 50A, 600V, 200kAIC, Class J, Fast-Acting",25.72,Rexel,6/24/2025
FU,J-FastActing,70,207-0657,LITTLEFUSE,JLS070,,"Fuse, 70A, 600V, 200kAIC, Class J, Fast-Acting",41.89,Rexel,6/24/2025
FU,J-FastActing,90,n/a,LITTLEFUSE,JLS090,,"Fuse, 90A, 600V, 200kAIC, Class J, Fast-Acting",45.33,Rexel,6/24/2025
FU,J-FastActing,100,207-3119,LITTLEFUSE,JLS100,,"Fuse, 100A, 600V, 200kAIC, Class J, Fast-Acting",37.39,Rexel,6/24/2025
FU,J-FastActing,125,206-4429,LITTLEFUSE,JLS125,,"Fuse, 125A, 600V, 200kAIC, Class J, Fast-Acting",80.92,Rexel,6/24/2025
FU,J-FastActing,175,206-1727,LITTLEFUSE,JLS175,,"Fuse, 175A, 600V, 200kAIC, Class J, Fast-Acting",79.19,Rexel,6/24/2025
FU,J-FastActing,200,207-0662,LITTLEFUSE,JLS200,,"Fuse, 200A, 600V, 200kAIC, Class J, Fast-Acting",70.54,Rexel,6/24/2025
FU,J-FastActing,300,-,LITTLEFUSE,JLS300,,"Fuse, 300A, 600V, 200kAIC, Class J, Fast-Acting",164.29,Rexel,6/24/2025
FU,J-FastActing,350,-,LITTLEFUSE,JLS350,,"Fuse, 350A, 600V, 200kAIC, Class J, Fast-Acting",179.75,Rexel,6/24/2025
FU,J-FastActing,400,207-0641,LITTLEFUSE,JLS400,,"Fuse, 400A, 600V, 200kAIC, Class J, Fast-Acting",155.2,Rexel,6/24/2025
FU,J-FastActing,500,207-0639,LITTLEFUSE,JLS500,,"Fuse, 500A, 600V, 200kAIC, Class J, Fast-Acting",254.23,Rexel,6/24/2025
FU,J-FastActing,600,,LITTLEFUSE,JLS600,,"Fuse, 600A, 600V, 200kAIC, Class J, Fast-Acting",223.6,Rexel,6/24/2025
FU,J-TimeDelay,35,,LITTLEFUSE,JTD035,,"35 Amp Fuse, Time Delay, Brand or Series: Class J, Indicator, Interrupting Rating: 200000 Amp",20.56,Rexel,6/24/2025
FU,J-TimeDelay,60,,LITTLEFUSE,JTD060,,"60 Amp Fuse, Time Delay, Brand or Series: Class J, Indicator, Interrupting Rating: 200000 Amp",20.56,Rexel,6/24/2025
FU,J,30A-3P,206-7413,LITTLEFUSE,LFJ60030-3CID,79458181784,"30A, 600V, Fuse Holder 3 Pole Class J Fuseblock",44.25,Rexel,6/24/2025
FU,J,60A-3P,207-2548,LITTLEFUSE,LFJ60060-3CID,79458181876,"60A, 600V, Fuse Holder 3 Pole Class J Fuseblock",46.84,Rexel,6/24/2025
FU,J,100-3P,207-3059,LITTLEFUSE,LFJ60100-3CID,79458181890,"100A, 600V, Fuse Holder 3 Pole Class J Fuseblock",80,Rexel,6/24/2025
FU,J,200-3P,207-7230,LITTLEFUSE,LFJ60200-3C,79458181944,"200A, 600V, Fuse Holder 3 Pole Class J Fuseblock",341.89,Rexel,6/30/2025
FU,J,400-3P,207-3215,LITTLEFUSE,LFJ60400-3C,79458181920,"400A, 600V, Fuse Holder 3 Pole Class J Fuseblock",668.47,Rexel,6/30/2025
